0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,10,0,0,0,0
0,0,0,0,0,26,11,19,33,30,0,0,0
0,0,0,0,8,8,0,7,71,51,0,0,0
0,0,0,0,10,0,0,0,11,15,0,0,0
0,0,0,9,0,0,7,4,6,17,0,0,0
0,0,0,6,5,52,84,63,60,68,26,0,0
0,0,0,10,54,110,119,114,86,85,74,4,0
0,0,0,49,100,122,124,108,86,86,76,18,0
0,0,19,79,97,111,114,106,90,84,74,4,0
0,0,33,66,98,102,95,68,74,62,12,0,0
0,5,46,44,54,66,54,22,21,9,0,0,0
0,5,41,42,38,29,8,0,0,0,0,0,0
0,0,29,27,22,16,0,0,0,0,0,0,0
0,0,9,25,12,13,0,0,0,0,0,0,0
0,0,0,16,18,11,0,0,0,0,0,0,0
0,0,0,9,14,8,4,0,0,0,0,0,0
0,0,0,0,12,9,6,0,0,0,0,0,0
0,0,0,0,7,12,4,0,0,0,0,0,0
0,0,0,0,0,10,7,0,0,0,0,0,0
0,0,0,0,0,5,8,9,6,0,0,0,0
0,0,0,0,0,4,17,27,38,30,0,0,0
0,0,0,0,0,0,26,51,74,87,55,0,0
0,0,0,0,0,0,37,68,88,115,102,24,0
0,0,0,0,0,0,48,79,115,141,119,76,0
0,0,0,0,0,0,40,93,126,143,132,119,0
0,0,0,0,0,0,36,82,122,128,130,102,0
0,0,0,0,0,0,14,66,108,127,128,60,0
0,0,0,0,0,0,0,24,83,100,58,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
